"keys","en","uk"
"INFO_NEG_STAT_CRIT_CHANCE","Your attacks have {0} less chance to deal more damage","Ваші атаки мають на {0} менший шанс завдати більше шкоди"
"INFO_POS_STAT_LUCK","You have {0} more chance of finding items or consumables when you kill enemies. Also increases the rarity of items in the shop and level upgrades.","Ви маєте на {0} більше шанс знайти предмети або фрукти при вбивстві ворога. Також збільшує рідкість предметів у крамниці та покращень рівня."
"INFO_NEG_STAT_LUCK","You have {0} less chance of finding items or consumables when you kill enemies. Also reduces the rarity of items in the shop and level upgrades.","Ви маєте на {0} менше шанс знайти предмети або фрукти при вбивстві ворога. Також збільшує рідкість предметів у крамниці та покращень рівня."
"INFO_POS_STAT_CRIT_DAMAGE","Your critical hits deal {0} more damage","Ваші критичні удари завдають на {0} більше шкоди"
"INFO_NEG_STAT_CRIT_DAMAGE","Your critical hits deal {0} less damage. Can’t go below base damage.","Ваші критичні удари завдають на {0} менше шкоди. Не може "
"INFO_POS_STAT_ELEMENTAL_DAMAGE","Elemental damage is increased by {0}","Стихійна шкода більше на {0}"
"INFO_NEG_STAT_ELEMENTAL_DAMAGE","Elemental damage is reduced by {0}","Стихійна шкода менше на {0}"
"INFO_POS_STAT_ARMOR","You take {0} less damage","Ви отримуєте на {0} менше шкоди"
"INFO_NEG_STAT_ARMOR","You take {0} more damage","Ви отримуєте на {0} більше шкоди"
"INFO_POS_STAT_HP_REGENERATION","You regenerate {0} HP every {1} seconds ({2} HP / second)","Ви регенеруєте {0} ОЗ кожні {1} секунди ({2} ОЗ/с)"
"INFO_NEG_STAT_HP_REGENERATION","You regenerate 0 HP every 5 seconds","Ви регенеруєте 0 ОЗ кожні 5 секунд"
"INFO_POS_STAT_LIFESTEAL","Your attacks have a {0} chance to heal you for 1 HP. Max: {1} HP / second","Ваші атаки мають {0} шанс зцілити вас на 1 ОЗ. Макс: {1} ОЗ/с"
"INFO_NEG_STAT_LIFESTEAL","Your attacks have a 0% chance to heal you for 1 HP. Max: {1} HP / second","Ваші атаки мають 0% шанс зцілити вас на 1 ОЗ. Макс: {1} ОЗ/с"
"INFO_POS_STAT_MELEE_DAMAGE","Your melee attacks deal {0} additional damage","Ваші атаки ближнього бою завдають на {0} більше шкоди"
"INFO_NEG_STAT_MELEE_DAMAGE","Your melee attacks deal {0} less damage","Ваші атаки ближнього бою завдають на {0} менше шкоди"
"INFO_POS_STAT_PERCENT_DAMAGE","Your attacks deal {0} more damage","Ваші атаки завдають на {0} більше шкоди"
"INFO_NEG_STAT_PERCENT_DAMAGE","Your attacks deal {0} less damage","Ваші атаки завдають на {0} менше шкоди"
"INFO_POS_STAT_DODGE","You have a {0} chance to dodge attacks. Max: {1}","Ви маєте {0} шанс ухилитися від атаки. Макс: {1}"
"INFO_NEG_STAT_DODGE","You have a 0% chance to dodge attacks. Max: {1}","Ви маєте 0% шанс ухилитися від атаки. Макс: {1}"
"INFO_POS_STAT_ENGINEERING","Increases the power of your structures. Other primary stats don’t affect structures but secondary stats do. (piercing, bouncing, explosion size etc.)","Збільшує силу ваших споруд. Інші первинні характеристики не впливають на споруди, але вторинні - впливають. (пробивання, відскок, розмір вибуху і т.д.)"
"INFO_NEG_STAT_ENGINEERING","Decreases the power of your structures. Other primary stats don’t affect structures but secondary stats do. (piercing, bouncing, explosion size etc.)","Зменшує силу ваших структур. Інші первинні статистики не впливають на споруди, але вторинні - впливають. (пробивання, відскок, розмір вибуху і т.д.)"
"INFO_POS_STAT_RANGE","The max range of your weapons is increased by {0}. Half as effective on melee weapons. A higher range also increases the cooldown of melee weapons. (longer travel distance)","Максимальна дальність вашої зброї збільшується на {0}. Вдвічі менша ефективність зброї ближнього бою. Більша дальність також збільшує час перезаряджання зброї ближнього бою. (більша відстань переміщення)"
"INFO_NEG_STAT_RANGE","The max range of your weapons is reduced by {0}. Half as effective on melee weapons. A lower range also decreases the cooldown of melee weapons. (shorter travel distance)","Максимальна дальність вашої зброї зменшується на {0}. Вдвічі менша ефективність для зброї ближнього бою. Менша дальність також зменшує час перезаряджання зброї ближнього бою. (менша відстань переміщення)"
"INFO_POS_STAT_RANGED_DAMAGE","Your ranged attacks deal {0} additional damage","Ваші атаки дальнього бою завдають на {0} більше шкоди"
"INFO_NEG_STAT_RANGED_DAMAGE","Your ranged attacks deal {0} less damage","Ваші атаки дальнього бою завдають на {0} менше шкоди"
"INFO_POS_STAT_SPEED","You move {0} faster","Ви рухаєтеся на {0} швидше"
"INFO_NEG_STAT_SPEED","You move {0} slower","Ви рухаєтеся на {0} повільніше"
"INFO_POS_STAT_ACCURACY","Reduces the chance to miss with weapons by {0}. A miss only deals 25% damage. Also reduces the bullet spread of Ranged Weapons.","Зменшує шанс промаху зі зброї на {0}. Промах завдає лише 25% шкоди. Також зменшує розсіювання куль при стрільбі зі зброї дальнього бою."
"INFO_NEG_STAT_ACCURACY","Increases the chance to miss with weapons by {0}. A miss only deals 25% damage. Also increases the bullet spread of Ranged Weapons.","Збільшує шанс промаху зі зброї на {0}. Промах завдає лише 25% шкоди. Також збільшує розкид куль для зброї дальнього бою."
"INFO_POS_STAT_ATTACK_SPEED","You attack {0} faster. Also applies to Ranged weapons.","Ви атакуєте на {0} швидше."
"INFO_NEG_STAT_ATTACK_SPEED","You attack {0} slower. Also applies to Ranged weapons.","Ви атакуєте на {0} повільніше"
"INFO_POS_STAT_HARVESTING","You earn {0} materials and XP at the end of a wave. Increases by {1} every time it activates until wave {2}.","Наприкінці хвилі ви отримуєте {0} матеріалів і досвіду. Збільшується на {1} при кожній активації до хвилі {2}."
"INFO_POS_STAT_HARVESTING_LIMITED","You earn {0} materials and XP at the end of a wave. Increases by {1} every time it activates until wave {2}, then decreases by {3} instead.","Наприкінці хвилі ви отримуєте {0} матеріалів і XP. Збільшується на {1} при кожній активації до хвилі {2}, після чого навпаки зменшується на {3}."
"INFO_NEG_STAT_HARVESTING","You lose {0} materials at the end of a wave.","Ви втрачаєте {0} матеріалів наприкінці хвиді"
"INFO_BONUS_GOLD","The amount of materials that you haven’t picked up during last wave. The value of the next {0} dropped materials will be doubled.","Кількість матеріалів, які ви не забрали під час останньої хвилі буде компенсована подвоєнню вартості наступних {0} матеріалів, що випадуть."
"INFO_LEVEL_UP","You have gained a level during the wave which means you get to choose a new upgrade.","Ви підвищили рівень під час хвили, тому ви можете вибрати нове покращення."
"INFO_ITEM_BOX","You have found an item during the wave.","Ви знайшли предмет під час хвилі."
"ITEM","Item","Предмет"
"CHARACTER","Character","Персонаж"
"WEAPON_CLASS","Class","Клас"
"WEAPON_CLASS_PRIMITIVE","Primitive","Примітивність"
"WEAPON_CLASS_PRECISE","Precise","Точність"
"WEAPON_CLASS_BLADE","Blade","Лезо"
"WEAPON_CLASS_BLUNT","Blunt","Тупе"
"WEAPON_CLASS_ELEMENTAL","Elemental","Стихійне"
"WEAPON_CLASS_GUN","Gun","Вогнепал"
"WEAPON_CLASS_HEAVY","Heavy","Важке"
"WEAPON_CLASS_UNARMED","Unarmed","Беззбройне"
"WEAPON_CLASS_NONE","None","Немає"
"WEAPON_CLASS_SUPPORT","Support","Підтримка"
"WEAPON_CLASS_ETHEREAL","Ethereal","Ефірне"
"WEAPON_CLASS_MEDICAL","Medical","Медичне"
"WEAPON_CLASS_TOOL","Tool","Інструмент"
"WEAPON_CLASS_EXPLOSIVE","Explosive","Вибухівка"
"WEAPON_HAMMER","Hammer","Молот"
"WEAPON_CIRCULAR_SAW","Circular Saw","Циркулярна пила"
"WEAPON_MINIGUN","Minigun","Мініґан"
"WEAPON_SPEAR","Spear","Спис"
"WEAPON_FIST","Fist","Кулак"
"WEAPON_TASER","Taser","Електрошокер"
"WEAPON_PISTOL","Pistol","Пістолет"
"WEAPON_SMG","SMG","Пістолет-кулемет"
"WEAPON_ROCKET_LAUNCHER","Rocket Launcher","Ракетниця"
"WEAPON_FLAMETHROWER","Flamethrower","Кацапосмажилка"
"WEAPON_STICK","Stick","Патик"
"WEAPON_TORCH","Torch","Смолоскип"
"WEAPON_FLAMING_BRASS_KNUCKLES","Flaming Brass Knuckles","Полум'яний кастет"
"WEAPON_KNIFE","Knife","Ніж"
"WEAPON_BRASS_KNUCKLES","Brass Knuckles","Кастет"
"WEAPON_ROCK","Rock","Камінь"
"WEAPON_DOUBLE_BARREL_SHOTGUN","Double Barrel Shotgun","Двухстволка"
"WEAPON_HAND","Hand","Рука"
"WEAPON_WAND","Wand","Паличка"
"WEAPON_CACTI_CLUB","Cacti Club","Кактусова дубинка"
"WEAPON_LIGHTNING_SHIV","Lightning Shiv","Блискавична заточка"
"WEAPON_DAGGER","Thief Dagger","Кинджал грабіжника"
"WEAPON_GHOST_FLINT","Ghost Flint","Привидний кремінь"
"WEAPON_GHOST_AXE","Ghost Axe","Привидна сокира"
"WEAPON_GHOST_SCEPTER","Ghost Scepter","Примарний скіптр"
"WEAPON_SLINGSHOT","Slingshot","Рогатка"
"WEAPON_MEDICAL_GUN","Medical Gun","Медичний пістолет"
"WEAPON_SHREDDER","Shredder","Шредер"
"WEAPON_WRENCH","Wrench","Гайковий ключ"
"WEAPON_SCREWDRIVER","Screwdriver","Викрутка"
"WEAPON_SWORD","Sword","Меч"
"WEAPON_SHURIKEN","Shuriken","Сюрікен"
"WEAPON_LASER_GUN","Laser Gun","Лазерний пістолет"
"WEAPON_SCISSORS","Scissors","Ножиці"
"WEAPON_HATCHET","Hatchet","Сокира"
"WEAPON_POWER_FIST","Power Fist","Силовий кулак"
"WEAPON_PLASMA_SLEDGEHAMMER","Plasma Sledgehammer","Плазмова кувалда"
"WEAPON_SPIKY_SHIELD","Spiky Shield","Шипастий щит"
"WEAPON_CHOPPER","Chopper","Тесак"
"WEAPON_NUCLEAR_LAUNCHER","Nuclear Launcher","Ядерка на москву"
"WEAPON_OBLITERATOR","Obliterator","Знищувач"
"WEAPON_POTATO_THROWER","Potato Thrower","Картоплестріл"
"WEAPON_THUNDER_SWORD","Thunder Sword","Громовий меч"
"UNIQUE_WEAPON","different weapon","інша зброя"
"DUPLICATE_WEAPON","duplicate weapon","дублікат зброї"
"UPGRADE","Upgrade","Покращення"
"UPGRADE_MAX_HP","Heart","Серце"
"UPGRADE_DAMAGE","Biceps","Біцепс"
"UPGRADE_CRIT_CHANCE","Fingers","Пальці"
"UPGRADE_LUCK","Nose","Ніс"
"UPGRADE_ELEMENTAL_DAMAGE","Brain","Мізки"
"UPGRADE_ARMOR","Chest","Груди"
"UPGRADE_HP_REGENERATION","Lungs","Легені"
"UPGRADE_LIFESTEAL","Teeth","Зуби"
"UPGRADE_MELEE_DAMAGE","Forearms","Передпліччя"
"UPGRADE_PERCENT_DAMAGE","Triceps","Трицепс"
"UPGRADE_DODGE","Back","Спина"
"UPGRADE_ENGINEERING","Skull","Череп"
"UPGRADE_RANGE","Eyes","Очі"
"UPGRADE_RANGED_DAMAGE","Shoulders","Плечі"
"UPGRADE_SPEED","Legs","Ноги"
"UPGRADE_ATTACK_SPEED","Reflexes","Рефлекси"
"UPGRADE_HARVESTING","Hands","Руки"
"ITEM_RIP_AND_TEAR","Rip and Tear","Рвати й шматувати"
"ITEM_EYES_SURGERY","Eyes Surgery","Хірургія очей"
"ITEM_ACID","Acid","Кислота"
"ITEM_ALIEN_MAGIC","Alien Magic","Чужоземна магія"
"ITEM_BABY_ELEPHANT","Baby Elephant","Слоненятко"
"ITEM_BABY_WITH_A_BEARD","Baby with a Beard","Дитинча з бородою"
"ITEM_BANDANA","Bandana","Банан"
"ITEM_BEANIE","Beanie","Шапочка"
"ITEM_BOILING_WATER","Boiling Water","Окріп"
"ITEM_BROKEN_MOUTH","Broken Mouth","Зламаний рот"
"ITEM_CYBERBALL","Cyberball","Кіберкуля"
"ITEM_CYCLOPS_WORM","Cyclops Worm","Черв'як-циклоп"
"ITEM_GLASSES","Glasses","Окуляри"
"ITEM_GOAT_SKULL","Goat Skull","Череп кози"
"ITEM_HELMET","Helmet","Шолом"
"ITEM_INJECTION","Injection","Ін'єкція"
"ITEM_INSANITY","Insanity","Безумство"
"ITEM_LOST_DUCK","Lost Duck","Загублена качка"
"ITEM_MASTERY","Mastery","Майстерність"
"ITEM_METAL_PLATE","Metal Plate","Металева пластина"
"ITEM_MUSHROOM","Mushroom","Гриб"
"ITEM_MUTATION","Mutation","Мутація"
"ITEM_PLANT","Plant","Рослина"
"ITEM_PUMPKIN","Pumpkin","Гарбуз"
"ITEM_SAD_TOMATO","Sad Tomato","Сумний томат"
"ITEM_SCAR","Scar","Шрам"
"ITEM_SCARED_SAUSAGE","Scared Sausage","Налякана сосиска"
"ITEM_SNAKE","Snake","Змія"
"ITEM_SUNGLASSES","Sunglasses","Сонячні окуляри"
"ITEM_TERRIFIED_ONION","Terrified Onion","Налякана цибуля"
"ITEM_UGLY_TOOTH","Ugly Tooth","Гидкий зуб"
"ITEM_WARRIOR_HELMET","Warrior Helmet","Шолом воїна"
"ITEM_WEIRD_FOOD","Weird Food","Дивна їжа"
"ITEM_WISDOM","Wisdom","Мудрість"
"ITEM_HEAD_INJURY","Head Injury","Травма голови"
"ITEM_BUTTERFLY","Butterfly","Метелик"
"ITEM_CLAW_TREE","Claw Tree","Кігтеве дерево"
"ITEM_GENTLE_ALIEN","Gentle Alien","Лагідний прибулець"
"ITEM_LITTLE_MUSCLEY_DUDE","Little Muscley Dude","Маленький м'язистий чувак"
"ITEM_ALIEN_WORM","Alien Worm","Чужозепний хробак"
"ITEM_METAL_DETECTOR","Metal Detector","Металошукач"
"ITEM_TRIANGLE_OF_POWER","Triangle of Power","Трикутник сили"
"ITEM_CHARCOAL","Charcoal","Деревне вугілля"
"ITEM_FUEL_TANK","Fuel Tank","Паливний бак"
"ITEM_MISSILE","Missile","Ракета"
"ITEM_SMALL_MAGAZINE","Small Magazine","Маленький магазин"
"ITEM_HEDGEHOG","Hedgehog","Їжачок"
"ITEM_ENERGY_BRACELET","Energy Bracelet","Енергетичний браслет"
"ITEM_WHEELBARROW","Wheelbarrow","Тачка"
"ITEM_COFFEE","Coffee","Кава"
"ITEM_DEFECTIVE_STEROIDS","Defective Steroids","Дефектні стероїди"
"ITEM_BAG","Bag","Мішок"
"ITEM_ALIEN_BABY","Alien Baby","Чужоземне дитя"
"ITEM_FERTILIZER","Fertilizer","Добрива"
"ITEM_CUTE_MONKEY","Cute Monkey","Мила мавпочка"
"ITEM_BAT","Bat","Кажан"
"ITEM_BEAN_TEACHER","Bean Teacher","Учитель бобів"
"ITEM_GAMBLING_TOKEN","Gambling Token","Ігрова фішка"
"ITEM_HUNTING_TROPHY","Hunting Trophy","Мисливський трофей"
"ITEM_LENS","Lens","Лінза"
"ITEM_RICOCHET","Ricochet","Рикошет"
"ITEM_ALIEN_TONGUE","Alien Tongue","Язик прибульця"
"ITEM_PIGGY_BANK","Piggy Bank","Копілка"
"ITEM_STATUE","Statue","Статуя"
"ITEM_SCOPE","Scope","Приціл"
"ITEM_GLASS_CANNON","Glass Cannon","Скляна гармата"
"ITEM_ALIEN_EYES","Alien Eyes","Очі прибульця"
"ITEM_BLOOD_DONATION","Blood Donation","Донорство крові"
"ITEM_BOXING_GLOVE","Boxing Glove","Боксерскі рукавички"
"ITEM_COUPON","Coupon","Купон"
"ITEM_CROWN","Crown","Корона"
"ITEM_POWER_GENERATOR","Power Generator","Генератор"
"ITEM_RECYCLING_MACHINE","Recycling Machine","Переробник"
"ITEM_VIGILANTE_RING","Vigilante Ring","Перстень месника"
"ITEM_TREE","Tree","Дерево"
"ITEM_TORTURE","Torture","Тортури"
"ITEM_WEIRD_GHOST","Weird Ghost","Дивний привид"
"ITEM_LANDMINES","Landmines","Міни"
"ITEM_BARRICADE","Barricade","Барикада"
"ITEM_LUMBERJACK_SHIRT","Lumberjack Shirt","Сорочка лісоруба"
"ITEM_DUCT_TAPE","Duct Tape","Скотч"
"ITEM_BLINDFOLD","Blindfold","Пов'язка на очі"
"ITEM_PROPELLER_HAT","Propeller Hat","Капелюх-пропелер"
"ITEM_LEMONADE","Lemonade","Лимонад"
"ITEM_MOUSE","Mouse","Миша"
"ITEM_BABY_GECKO","Baby Gecko","Гекончик"
"ITEM_WHITE_FLAG","White Flag","Білий прапор"
"ITEM_BLACK_BELT","Black Belt","Чорний пояс"
"ITEM_TOXIC_SLUDGE","Toxic Sludge","Токсичний осад"
"ITEM_LITTLE_FROG","Little Frog","Маленька жабка"
"ITEM_CANDLE","Candle","Свічки"
"ITEM_CHAMELEON","Chameleon","Хамелеон"
"ITEM_MEDAL","Medal","Медаль"
"ITEM_TRACTOR","Tractor","Трактор"
"ITEM_ROBOT_ARM","Robot Arm","Роборука"
"ITEM_JETPACK","Jet Pack","Реактивний ранець"
"ITEM_MAMMOTH","Mammoth","Мамонт"
"ITEM_CAKE","Cake","Торт"
"ITEM_CAMPFIRE","Campfire","Вогнище"
"ITEM_SHMOOP","Shmoop","Шмуп"
"ITEM_CAPE","Cape","Плащ"
"ITEM_HANDCUFFS","Handcuffs","Наручники"
"ITEM_TURRET_HEALING","Medical Turret","Медична турель"
"ITEM_TURRET","Turret","Турель"
"ITEM_TURRET_ROCKET","Explosive Turret","Вибухова турель"
"ITEM_TURRET_FLAME","Incendiary Turret","Вогнеметна турель"
"ITEM_TURRET_LASER","Laser Turret","Лазерна турель"
"ITEM_BOOK","Book","Книга"
"ITEM_TOOLBOX","Toolbox","Інструментарій"
"ITEM_COG","Cog","Шестерня"
"ITEM_DIPLOMA","Diploma","Диплом"
"ITEM_RETROMATIONS_HOODIE","Retromation’s Hoodie","Гуді Retromation"
"ITEM_POTATO","Potato","Картоплина"
"ITEM_MEDIKIT","Medikit","Аптечка"
"ITEM_BOWLER_HAT","Bowler Hat","Капелюх-котелок"
"ITEM_COMPASS","Compass","Компас"
"ITEM_BIG_ARMS","Big Arms","Велика рука"
"ITEM_LUCKY_CHARM","Lucky Charm","Щасливий талісман"
"ITEM_SPIDER","Spider","Павук"
"ITEM_OCTOPUS","Octopus","Восьменіг"
"ITEM_SNAIL","Snail","Равлик"
"ITEM_PANDA","Panda","Панда"
"ITEM_WHEAT","Wheat","Пшениця"
"ITEM_NIGHT_GOGGLES","Night Goggles","Нічні окуляри"
"ITEM_PADDING","Padding","Підкладка"
"ITEM_FIN","Fin","Плавник"
"ITEM_RITUAL","Ritual","Ритуал"
"ITEM_WHETSTONE","Whetstone","Вітстоун"
"ITEM_GNOME","Gnome","Гном"
"ITEM_FOCUS","Focus","Фокус"
"ITEM_PEACEFUL_BEE","Peaceful Bee","Миролюбна бджілка"
"ITEM_PENCIL","Pencil","Олівець"
"ITEM_BLOOD_LEECH","Blood Leech","Кровосіся"
"ITEM_BANNER","Banner","Бойовий стяг"
